"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+2.35076500000E+008, +7.23543942725E-001, +0.00000000000E+000
+2.40076000000E+008, +1.25421971994E+000, +0.00000000000E+000
+2.45075500000E+008, +6.80369545412E-001, +0.00000000000E+000
+2.50075000000E+008, +8.22097735870E-001, +0.00000000000E+000
+2.55074500000E+008, +2.06871461638E-001, +0.00000000000E+000
+2.60074000000E+008, +6.60886215790E-001, +0.00000000000E+000
+2.65073500000E+008, +1.30056286950E-001, +0.00000000000E+000
+2.70073000000E+008, +8.68758069243E-002, +0.00000000000E+000
+2.75072500000E+008, +2.39372301813E-002, +0.00000000000E+000
+2.80072000000E+008, +3.30480442580E-001, +0.00000000000E+000
+2.85071500000E+008, +1.96077029484E-001, +0.00000000000E+000
+2.90071000000E+008, -1.43706991797E+000, +0.00000000000E+000
+2.95070500000E+008, -6.53107929726E-001, +0.00000000000E+000
+3.00070000000E+008, +6.52997963788E-001, +0.00000000000E+000
+3.05069500000E+008, +4.30748361286E-001, +0.00000000000E+000
+3.10069000000E+008, +3.84759511584E-001, +0.00000000000E+000
+3.15068500000E+008, +7.15759258616E-001, +0.00000000000E+000
+3.20068000000E+008, +7.32967118597E-001, +0.00000000000E+000
+3.25067500000E+008, +6.26656749414E-001, +0.00000000000E+000
+3.30067000000E+008, +6.80094914040E-001, +0.00000000000E+000
+3.35066500000E+008, +1.29062123799E+000, +0.00000000000E+000
+3.40066000000E+008, +1.46360484396E+000, +0.00000000000E+000
+3.45065500000E+008, +8.92328990139E-001, +0.00000000000E+000
+3.50065000000E+008, +7.65351465860E-001, +0.00000000000E+000
+3.55064500000E+008, +1.14560123939E+000, +0.00000000000E+000
+3.60064000000E+008, -4.43032810081E-001, +0.00000000000E+000
+3.65063500000E+008, +4.33146501609E-001, +0.00000000000E+000
+3.70063000000E+008, +1.29071902072E-001, +0.00000000000E+000
+3.75062500000E+008, -1.89062992322E-001, +0.00000000000E+000
+3.80062000000E+008, -5.25942222498E-002, +0.00000000000E+000
+3.85061500000E+008, +5.35837760227E-001, +0.00000000000E+000
+3.90061000000E+008, -5.83770003325E-002, +0.00000000000E+000
+3.95060500000E+008, -7.60321697419E-001, +0.00000000000E+000
+4.00060000000E+008, -6.20986353117E-001, +0.00000000000E+000
+4.05059500000E+008, -1.09719618515E+000, +0.00000000000E+000
+4.10059000000E+008, -1.25860920175E+000, +0.00000000000E+000
+4.15058500000E+008, -1.43305548225E+000, +0.00000000000E+000
+4.20058000000E+008, -3.20549893984E+000, +0.00000000000E+000
+4.25057500000E+008, -7.15342196173E+000, +0.00000000000E+000
+4.30057000000E+008, -1.81278053986E+001, +0.00000000000E+000
+4.35056500000E+008, -4.75889848657E+000, +0.00000000000E+000
+4.40056000000E+008, -1.82092073138E+000, +0.00000000000E+000
+4.45055500000E+008, -1.33936136639E+000, +0.00000000000E+000
+4.50055000000E+008, -8.81263963498E-001, +0.00000000000E+000
+4.55054500000E+008, -4.01398556517E-001, +0.00000000000E+000
+4.60054000000E+008, -5.93523685479E-001, +0.00000000000E+000
+4.65053500000E+008, -6.15700638746E-002, +0.00000000000E+000
+4.70053000000E+008, -3.06860211698E-002, +0.00000000000E+000
+4.75052500000E+008, -1.21496712222E-001, +0.00000000000E+000
+4.80052000000E+008, +4.06066596827E-001, +0.00000000000E+000
+4.85051500000E+008, +4.88409780351E-001, +0.00000000000E+000
+4.90051000000E+008, +1.43166402398E-001, +0.00000000000E+000
+4.95050500000E+008, +1.27932337059E-001, +0.00000000000E+000
+5.00050000000E+008, -9.00732118929E-002, +0.00000000000E+000
+5.05049500000E+008, +5.11673943545E-002, +0.00000000000E+000
+5.10049000000E+008, +1.06842837717E-001, +0.00000000000E+000
+5.15048500000E+008, -1.64242958229E-001, +0.00000000000E+000
